player,league,season,xg,np_xg,xa,key_passes,xg_chain,xg_buildup
Ainsley Maitland-Niles,Premier League,2019-20,0.5084082968533039,0.5084082968533039,1.6460967063903809,11,5.15650237724185,3.5671484656631947
Alexandre Lacazette,Premier League,2019-20,8.664644362404943,8.664644362404943,3.342292783781886,24,12.061309602111578,2.5056339018046856
Bernd Leno,Premier League,2019-20,0.0,0.0,0.0,0,4.038203942589462,4.038203942589462
Bukayo Saka,Premier League,2019-20,1.1424380782991648,1.1424380782991648,3.680352535098791,21,7.812512021511793,5.022922188043594
Calum Chambers,Premier League,2019-20,0.6329499976709485,0.6329499976709485,2.2414444722235203,7,4.406147539615631,3.21046981215477
Cédric Soares,Premier League,2019-20,0.6565496101975441,0.6565496101975441,0.829959399998188,12,3.0438965931534767,1.997347492724657
Dani Ceballos,Premier League,2019-20,0.47007399424910545,0.47007399424910545,1.5761437863111496,28,8.6631198246032,7.352911818772554
David Luiz,Premier League,2019-20,1.560154115781188,1.560154115781188,0.7974876035004854,4,9.724230770021677,8.911327958106995
Eddie Nketiah,Premier League,2019-20,3.4787297137081623,3.4787297137081623,0.631174492649734,5,4.134649693965912,0.5784084871411324
Emile Smith-Rowe,Premier League,2019-20,0.0,0.0,0.0,0,0.0,0.0
Emiliano Martinez,Premier League,2019-20,0.0,0.0,0.0,0,0.9078709222376347,0.9078709222376347
Gabriel Martinelli,Premier League,2019-20,2.2424831092357635,2.2424831092357635,0.11354190111160278,2,2.9959328081458807,0.639907518401742
Granit Xhaka,Premier League,2019-20,0.5712299924343824,0.5712299924343824,0.972196189686656,16,12.973864022642374,12.263061579316854
Henrikh Mkhitaryan,Premier League,2019-20,0.4295176938176155,0.4295176938176155,0.27430200576782227,2,0.8670729994773865,0.2900702953338623
Héctor Bellerín,Premier League,2019-20,0.43250470235943794,0.43250470235943794,0.449982613325119,3,4.190358854830265,3.453752614557743
Joe Willock,Premier League,2019-20,2.320996392518282,2.320996392518282,1.0468105915933847,12,5.5602357145398855,3.183693516999483
Kieran Tierney,Premier League,2019-20,0.22836239449679852,0.22836239449679852,0.7536174207925797,6,2.8807710334658623,2.309806341305375
Lucas Torreira,Premier League,2019-20,1.4572498127818108,1.4572498127818108,0.8258084943518043,13,6.481221791356802,4.913524277508259
Matteo Guendouzi,Premier League,2019-20,0.5298995021730661,0.5298995021730661,1.0633035972714424,12,6.531604591757059,5.212481122463942
Mesut Özil,Premier League,2019-20,1.708274181932211,1.708274181932211,2.2874074801802635,37,8.399060912430286,6.210026806220412
Nacho Monreal,Premier League,2019-20,0.043980300426483154,0.043980300426483154,0.4594329968094826,3,0.6670902036130428,0.5824291966855526
Nicolas Pepe,Premier League,2019-20,5.069304745644331,4.308138769119978,4.904218332841992,39,10.924232121556997,4.814494911581278
Pablo Marí,Premier League,2019-20,0.0,0.0,0.0,0,0.5135990083217621,0.5135990083217621
Pierre-Emerick Aubameyang,Premier League,2019-20,16.352621614933014,14.830358684062958,4.492486532777548,26,19.964279878884554,5.339654562994838
Reiss Nelson,Premier League,2019-20,1.2735872119665146,1.2735872119665146,0.3629353968426585,9,1.9280117973685265,0.7598887234926224
Rob Holding,Premier League,2019-20,0.10935600101947784,0.10935600101947784,0.0,0,0.4436413124203682,0.4436413124203682
Sead Kolasinac,Premier League,2019-20,0.2549881963059306,0.2549881963059306,1.334304090589285,10,8.02809800952673,7.041230961680412
Shkodran Mustafi,Premier League,2019-20,0.5680257026106119,0.5680257026106119,0.5758727826178074,3,4.499943673610687,3.9672136902809143
Sokratis,Premier League,2019-20,1.4505057297647,1.4505057297647,0.7529760003089905,2,4.342150938697159,4.342150938697159
Ahmed Elmohamady,Premier League,2019-20,0.19573410134762526,0.19573410134762526,2.220943322405219,22,3.627543732523918,2.725653551518917
Anwar El Ghazi,Premier League,2019-20,6.381359378807247,5.62019136082381,2.877202283591032,30,8.016559479758143,2.2102830801159143
Björn Engels,Premier League,2019-20,0.7842207811772823,0.7842207811772823,0.14336230233311653,2,3.8012201180681586,3.748133114539087
Borja Bastón,Premier League,2019-20,0.0,0.0,0.0,0,0.0,0.0
Conor Hourihane,Premier League,2019-20,1.62833839841187,1.62833839841187,5.731440666131675,38,6.0079372227191925,3.157471826300025
Daniel Drinkwater,Premier League,2019-20,0.09826850146055222,0.09826850146055222,0.0402861014008522,1,0.8360581956803799,0.7377896942198277
Douglas Luiz,Premier League,2019-20,2.2777960058301687,2.2777960058301687,2.0041150031611323,17,5.5698155630379915,3.396518010646105
Ezri Konsa Ngoyo,Premier League,2019-20,1.669818784110248,1.669818784110248,0.8850580882281065,11,2.9527189023792744,2.5491498187184334
Frederic Guilbert,Premier League,2019-20,0.41759660467505455,0.41759660467505455,1.3897649087011814,13,4.420984271913767,3.741675427183509
Henri Lansbury,Premier League,2019-20,0.05322900041937828,0.05322900041937828,0.06579379737377167,2,0.46182478964328766,0.36103498935699463
Indiana Vassilev,Premier League,2019-20,0.032814398407936096,0.032814398407936096,0.0,0,0.032814398407936096,0.0
Jack Grealish,Premier League,2019-20,6.844703515991569,6.083534499630332,7.637995069846511,92,18.373635333031416,9.304545175284147
Jed Steer,Premier League,2019-20,0.0,0.0,0.0,0,0.0,0.0
John McGinn,Premier League,2019-20,3.9825734980404377,3.9825734980404377,2.617758873850107,37,9.97086264193058,5.289587929844856
Jonathan Kodjia,Premier League,2019-20,0.15865400433540344,0.15865400433540344,0.08237359672784805,1,0.32795220240950584,0.08692469820380211
José Reina,Premier League,2019-20,0.0,0.0,0.039028100669384,1,1.7092243134975433,1.7092243134975433
Jota,Premier League,2019-20,0.2638003006577492,0.2638003006577492,0.5682310946285725,4,1.558620523661375,0.849068209528923
Keinan Davis,Premier League,2019-20,1.985923521220684,1.985923521220684,0.18036619946360588,6,2.6382866194471717,1.3067813031375408
Kortney Hause,Premier League,2019-20,2.8237650701776147,2.8237650701776147,0.4907599985599518,2,1.7359597831964493,1.7359597831964493
Marvelous Nakamba,Premier League,2019-20,0.13154470175504684,0.13154470175504684,0.5477455705404282,12,4.796767007559538,4.29724601842463
Matt Targett,Premier League,2019-20,0.3935442939400673,0.3935442939400673,3.299923975020647,29,7.988197173923254,6.494184646755457
Mbwana Samatta,Premier League,2019-20,2.5278822369873524,2.5278822369873524,0.3115765042603016,9,3.418448619544506,1.3475396949797869
Neil Taylor,Premier League,2019-20,0.12685370072722435,0.12685370072722435,0.470634289085865,5,2.8881289437413216,2.387243937700987
Tom Heaton,Premier League,2019-20,0.0,0.0,0.0,0,2.095073110423982,2.095073110423982
Trézéguet,Premier League,2019-20,5.345048896037042,5.345048896037042,0.958256809040904,21,6.641214028932154,2.6114307940006256
Tyrone Mings,Premier League,2019-20,0.9166155084967613,0.9166155084967613,0.5713249817490578,7,5.111489251255989,5.068002752959728
Wesley,Premier League,2019-20,7.270562741905451,6.509392712265253,0.8836157005280256,11,8.007937798276544,2.6747633749619126
Ørjan Nyland,Premier League,2019-20,0.0,0.0,0.0,0,0.19450700096786022,0.19450700096786022
Aaron Ramsdale,Premier League,2019-20,0.0,0.0,0.5314233005046844,2,2.1673740642145276,1.6359507637098432
Adam Smith,Premier League,2019-20,0.6926139984279871,0.6926139984279871,1.273223688825965,10,5.350808300077915,4.599227916449308
Andrew Surman,Premier League,2019-20,0.027736099436879158,0.027736099436879158,0.048970598727464676,1,0.9394945111125708,0.8905235137790442
Arnaut Danjuma Groeneveld,Premier League,2019-20,1.048506997525692,1.048506997525692,0.16391029953956604,5,1.204533277079463,0.26908320374786854
Callum Wilson,Premier League,2019-20,9.842872485518456,9.842872485518456,3.349535880610347,30,12.562954794615507,2.707835785113275
Charlie Daniels,Premier League,2019-20,0.0,0.0,0.14172199368476868,2,0.49434399604797363,0.4184969961643219
Chris Mepham,Premier League,2019-20,1.0533044748008251,1.0533044748008251,0.07673639804124832,1,0.943722490221262,0.7480954900383949
Dan Gosling,Premier League,2019-20,2.929864052683115,2.929864052683115,1.369174674153328,10,3.7870463207364082,1.4419024251401424
David Brooks,Premier League,2019-20,0.43261139281094074,0.43261139281094074,0.534646600484848,6,0.8643895983695984,0.13210549764335155
Diego Rico,Premier League,2019-20,0.33659479580819607,0.33659479580819607,2.5829767948016524,31,4.199678809382021,3.4121973905712366
Dominic Solanke,Premier League,2019-20,4.439335510134697,4.439335510134697,1.053561699576676,15,6.863941753283143,2.4171565398573875
Harry Wilson,Premier League,2019-20,4.164999137632549,4.164999137632549,2.217742595821619,14,7.9218197055161,4.210729802027345
Jack Simpson,Premier League,2019-20,0.011818800121545792,0.011818800121545792,0.034685298800468445,1,0.046504098922014236,0.0
Jack Stacey,Premier League,2019-20,0.5616067014634609,0.5616067014634609,2.4069034699350595,10,5.1768355099484324,3.1207157438620925
Jefferson Lerma,Premier League,2019-20,0.8153309905901551,0.8153309905901551,1.5313026988878846,11,8.758196957409382,8.174159379675984
